State,Month_Year,aggravated_assault_count,homicide_count,rape_count,robbery_count,Month,Year,population_count,violent_crime_count,aggravated_assault_rate,homicide_rate,rape_rate,robbery_rate,violent_crime_rate
United States,12-1985,58260,1842,6442,52248,12,1985,237923796,118792,24.486831909827128,0.7741974661500441,2.7075896183162778,21.959972427474217,49.92859142176766
United States,01-1986,55958,1552,6060,46983,01,1986,240132883,110553,23.302930985924156,0.6463088189383875,2.5236027337413844,19.56541703619991,46.03825957480384
United States,02-1986,51918,1417,5700,41446,02,1986,240132883,100481,21.6205291634299,0.59008994615702,2.3736857396577378,17.25961037997449,41.84391522921915
United States,03-1986,65012,1662,6735,44021,03,1986,240132883,117430,27.07334338712787,0.6921167893528352,2.8046970976482215,18.33193332376724,48.90209059789616
United States,04-1986,65942,1599,6870,40874,04,1986,240132883,115285,27.46062895517729,0.665881315388197,2.8609159704295894,17.021408933819362,48.008835174814436
United States,05-1986,74514,1656,7479,41271,05,1986,240132883,124920,31.030319158746785,0.6896181727847743,3.114525552087758,17.18673406340605,52.021196947025366
United States,06-1986,79612,1670,7826,42820,06,1986,240132883,131928,33.15331036940909,0.6954482781102495,3.259028876940606,17.83179357406041,54.93958109852035
United States,07-1986,80978,1886,8302,45136,07,1986,240132883,136302,33.7221620747376,0.7853984745604374,3.457252458006761,18.79625956933187,56.76107257663666
United States,08-1986,81055,1891,8680,49875,08,1986,240132883,141501,33.75422765402771,0.7874806550338215,3.61466530179459,20.769750222005204,58.92612383286132
United States,09-1986,71391,1823,7691,46123,09,1986,240132883,127028,29.729789235071152,0.7591630005957993,3.2028100041592387,19.20728199477787,52.899044234604055
United States,10-1986,67559,1665,7086,46864,10,1986,240132883,123174,28.134006120269664,0.6933660976368655,2.950866166879777,19.51586114093337,51.29409952571968
United States,11-1986,61190,1602,6561,44239,11,1986,240132883,113592,25.481724633273153,0.6671306236722273,2.7322372171744593,18.422716392406784,47.30380886652662
United States,12-1986,58989,1678,5814,48114,12,1986,240132883,114595,24.565148788889523,0.6987797668676639,2.4211594544508923,20.036406259279367,47.72149426948745
United States,01-1987,61388,1535,6165,45856,01,1987,242288918,114944,25.336693277898906,0.6335411510649447,2.5444828640491104,18.92616483598313,47.440882128996094
United States,02-1987,58225,1553,5730,41783,02,1987,242288918,107291,24.031227049352704,0.6409702981132633,2.3649451437147446,17.245113951105267,44.28225644228598
United States,03-1987,65567,1612,6831,41987,03,1987,242288918,115997,27.06149358428354,0.6653213912160852,2.8193613048368973,17.32931095098621,47.87548723132273
United States,04-1987,67165,1475,6891,38471,04,1987,242288918,114002,27.721036750017596,0.6087773275705495,2.8441251283312923,15.878150894214649,47.05209010013409
United States,05-1987,74285,1661,7570,38325,05,1987,242288918,121841,30.659677138019163,0.6855451804031747,3.1243690642095316,15.817892257044956,50.28748363967683
United States,06-1987,73822,1513,7778,38898,06,1987,242288918,122011,30.468582966720746,0.6244610824503332,3.2102169856567686,16.05438677141643,50.35764780624427
United States,07-1987,78274,1680,8176,42281,07,1987,242288918,130411,32.30605867000487,0.6933870578430665,3.374483681502924,17.450653686108748,53.824583095459616
United States,08-1987,78178,1713,8193,44234,08,1987,242288918,132318,32.26643655241384,0.7070071607649839,3.381500098159669,18.25671614085131,54.61165995218981
United States,09-1987,71137,1604,7377,42947,09,1987,242288918,123065,29.36040186534656,0.6620195480834992,3.044712098635894,17.725532126896535,50.79266563896248
United States,10-1987,69579,1695,6701,44625,10,1987,242288918,122600,28.71736791527543,0.6995780137166653,2.7657063539323743,18.418093723956453,50.600746006880925
United States,11-1987,64278,1588,6296,43014,11,1987,242288918,115176,26.529484109545614,0.6554158618183272,2.5985505453452067,17.753185063131944,47.53663557984109
United States,12-1987,67485,1863,6395,48271,12,1987,242288918,124014,27.85311047532104,0.768916719500972,2.6394108541109587,19.92290873163254,51.18434678056551
